well,datum,groundElevation,utmEasting,utmNorthing,utmZn,ltrl,svDate,svcCompany,dvTool,surveyFlg,maxAngle,maxAngleDpth,md,inc,azm,tvd,tvdss,dls,localXoff,localYoff,easting,northing
AAAA-1111,999,999,0,0,39,0,2022-01-01,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,0,0.0,0.0,0,941,0.0,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-02,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,75,0.28,40.62,75,866,0.37,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-03,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,166,0.3,37.31,166,775,0.03,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-04,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,256,0.24,35.28,256,685,0.07,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-05,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,352,0.22,35.76,352,589,0.02,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-06,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,444,0.14,13.68,444,497,0.11,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-07,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,535,0.13,268.69,535,406,0.24,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-08,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,628,0.28,250.28,628,313,0.17,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-09,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,722,0.38,236.13,722,219,0.14,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-10,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,816,0.41,215.68,816,125,0.15,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-11,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,911,0.38,201.39,911,30,0.11,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-12,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1005,0.41,178.4,1005,-64,0.17,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-13,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1100,0.49,171.66,1100,-159,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-14,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1194,0.7,176.08,1194,-253,0.23,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-15,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1289,0.87,182.82,1289,-348,0.2,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-16,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1383,0.86,183.41,1383,-442,0.01,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-17,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1477,0.82,181.27,1477,-536,0.05,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-18,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1572,0.72,172.84,1572,-631,0.16,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-19,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1666,0.66,158.44,1666,-725,0.19,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-20,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1760,0.61,143.91,1760,-819,0.18,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-21,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1855,0.65,136.02,1855,-914,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-22,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1949,0.71,133.62,1949,-1008,0.07,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-23,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2044,0.71,132.45,2044,-1103,0.01,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-24,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2138,0.74,130.78,2138,-1197,0.04,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-25,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2232,0.77,133.62,2232,-1291,0.05,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-26,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2326,0.76,142.41,2326,-1385,0.13,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-27,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2420,0.84,154.36,2420,-1479,0.2,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-28,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2515,0.96,163.87,2515,-1574,0.2,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-29,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2609,1.09,171.41,2609,-1668,0.2,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-30,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2703,1.06,176.34,2703,-1762,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-31,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2797,1.15,180.58,2797,-1856,0.13,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-01,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2892,1.28,184.33,2892,-1951,0.16,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-02,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,2986,1.1,180.91,2986,-2045,0.21,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-03,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3080,1.04,176.93,3080,-2139,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-04,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3175,1.04,174.56,3175,-2234,0.05,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-05,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3269,1.13,173.47,3269,-2328,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-06,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3364,1.33,170.86,3364,-2423,0.22,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-07,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3458,1.5,174.13,3458,-2517,0.2,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-08,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3552,1.65,173.42,3552,-2611,0.16,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-09,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3647,1.71,173.43,3647,-2706,0.06,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-10,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3741,1.76,169.2,3741,-2800,0.15,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-11,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3836,1.9,166.2,3836,-2895,0.18,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-12,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,3930,1.78,166.84,3929,-2988,0.13,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-13,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4025,1.78,164.09,4024,-3083,0.09,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-14,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4119,2.01,164.8,4118,-3177,0.25,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-15,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4213,1.92,164.01,4212,-3271,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-16,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4308,1.78,158.6,4307,-3366,0.24,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-17,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4402,1.98,170.12,4401,-3460,0.45,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-18,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4497,2.04,184.96,4496,-3555,0.55,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-19,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4591,2.12,187.67,4590,-3649,0.13,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-20,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4685,2.16,191.42,4684,-3743,0.15,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-21,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4780,2.4,196.68,4779,-3838,0.33,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-22,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4874,2.41,196.39,4873,-3932,0.02,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-23,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,4969,2.34,201.99,4968,-4027,0.26,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-24,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5063,2.22,202.51,5062,-4121,0.13,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-25,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5157,2.12,203.49,5156,-4215,0.11,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-26,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5252,1.99,203.49,5251,-4310,0.14,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-27,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5346,2.04,206.94,5345,-4404,0.14,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-02-28,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5429,2.34,207.34,5427,-4486,0.36,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-01,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5535,6.39,227.27,5533,-4592,4.02,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-02,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5630,7.91,230.0,5627,-4686,1.64,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-03,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5724,8.88,233.49,5720,-4779,1.17,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-04,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5818,10.52,234.46,5813,-4872,1.75,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-05,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,5912,12.31,240.05,5905,-4964,2.24,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-06,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6006,14.28,239.02,5997,-5056,2.11,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-07,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6102,16.27,235.24,6089,-5148,2.32,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-08,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6196,17.64,234.74,6179,-5238,1.47,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-09,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6290,18.4,233.09,6269,-5328,0.97,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-10,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6383,20.22,230.97,6356,-5415,2.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-11,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6479,22.44,230.74,6446,-5505,2.31,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-12,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6574,24.2,232.43,6533,-5592,1.98,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-13,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6667,26.06,231.59,6617,-5676,2.04,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-14,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6763,27.92,233.04,6703,-5762,2.06,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-15,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6857,27.81,234.0,6786,-5845,0.49,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-16,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,6951,28.36,233.23,6869,-5928,0.7,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-17,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7046,28.63,234.38,6952,-6011,0.64,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-18,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7141,28.19,234.02,7036,-6095,0.5,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-19,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7235,27.67,233.51,7119,-6178,0.61,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-20,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7329,28.24,234.06,7202,-6261,0.67,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-21,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7424,27.93,235.85,7286,-6345,0.95,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-22,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7518,29.26,233.52,7368,-6427,1.85,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-23,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7612,29.34,235.63,7450,-6509,1.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-24,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7707,29.79,235.07,7533,-6592,0.56,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-25,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7802,30.06,233.9,7615,-6674,0.68,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-26,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7896,30.05,233.58,7697,-6756,0.17,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-27,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,7990,28.26,234.12,7779,-6838,1.92,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-28,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8084,27.03,235.28,7862,-6921,1.43,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-29,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8179,25.88,233.53,7947,-7006,1.46,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-30,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8273,24.43,233.91,8032,-7091,1.55,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-03-31,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8365,24.31,233.55,8116,-7175,0.21,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-01,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8462,22.72,234.73,8205,-7264,1.71,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-02,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8556,21.69,233.34,8292,-7351,1.23,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-03,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8651,18.98,232.98,8381,-7440,2.86,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-04,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8744,18.09,233.88,8469,-7528,1.01,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-05,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8840,16.05,232.51,8561,-7620,2.17,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-06,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,8932,13.66,234.82,8650,-7709,2.68,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-07,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9028,12.65,234.34,8743,-7802,1.06,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-08,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9123,11.25,232.05,8836,-7895,1.56,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-09,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9216,10.18,231.56,8928,-7987,1.15,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-10,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9310,8.81,234.71,9020,-8079,1.56,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-11,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9406,6.94,236.12,9115,-8174,1.96,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-12,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9500,5.47,234.32,9209,-8268,1.58,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-13,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9595,4.82,226.37,9303,-8362,1.01,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-14,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9689,4.22,230.36,9397,-8456,0.72,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-15,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9784,3.36,233.17,9492,-8551,0.93,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-16,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9878,2.92,225.98,9586,-8645,0.63,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-17,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,9972,2.22,242.32,9680,-8739,1.07,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-18,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10067,2.68,244.59,9775,-8834,0.49,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-19,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10161,2.06,252.42,9868,-8927,0.74,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-20,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10256,2.06,244.47,9963,-9022,0.3,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-21,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10350,1.63,250.4,10057,-9116,0.5,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-22,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10387,2.16,252.59,10094,-9153,1.45,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-23,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10536,1.46,254.63,10243,-9302,0.47,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-24,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10630,1.42,264.7,10337,-9396,0.27,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-25,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,10819,1.64,271.06,10526,-9585,0.15,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-26,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,11008,1.64,279.19,10715,-9774,0.12,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-27,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,11197,1.66,289.3,10904,-9963,0.15,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-28,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,11386,1.73,293.72,11093,-10152,0.08,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-29,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,11574,1.73,298.7,11281,-10340,0.08,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-04-30,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,11763,1.35,302.87,11470,-10529,0.21,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-01,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,11952,1.25,306.8,11659,-10718,0.07,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-02,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,12141,1.49,321.09,11848,-10907,0.22,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-03,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,12329,1.49,335.16,12036,-11095,0.19,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-04,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,12518,1.59,331.06,12225,-11284,0.08,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-05,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,12707,1.59,330.76,12413,-11472,0.0,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-06,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,12896,1.5,326.15,12602,-11661,0.08,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-07,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13085,1.6,323.99,12791,-11850,0.06,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-08,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13274,2.75,331.4,12980,-12039,0.63,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-09,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13368,2.87,331.74,13074,-12133,0.13,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-10,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13463,3.03,329.19,13169,-12228,0.22,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-11,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13557,3.05,325.58,13263,-12322,0.2,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-12,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13624,3.06,324.39,13330,-12389,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-13,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13751,2.64,326.83,13457,-12516,0.34,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-14,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13845,2.53,330.07,13550,-12609,0.19,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-15,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,13938,2.52,331.66,13643,-12702,0.08,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-16,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,14033,3.02,331.57,13738,-12797,0.53,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-17,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,14111,3.32,330.55,13816,-12875,0.39,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-05-18,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,14186,3.32,330.55,13891,-12950,0.0,0,0,0,0
