Unnamed: 0,Feature Id,Importances_1,Place_1,Importances_2,Place_2,Importances_3,Place_3,Importances_4,Place_4,Importances_5,Place_5
0,is_auto_rebuild,8.476532834379254,1,6.322437069696107,2,6.349613008731031,3,9.23855867789338,1,8.05612856762784,1
1,is_avoid_toll_roads,7.542246234526173,2,8.351968254274402,1,7.929103402694127,1,7.829531039222823,3,6.720431497532144,2
2,is_authorized,5.479392185030547,3,5.884034051219557,3,6.92911133645443,2,8.312548772242652,2,6.590227681609339,3
3,is_locate_user,5.240316806246139,4,5.569534476403177,5,4.764746521547706,5,4.679275168323482,5,5.35179118829939,5
5,is_service_mode_enter_button_click,4.763695422831965,6,5.745109567605095,4,5.168746953205371,4,3.61836136452803,9,4.883032105853641,6
7,is_alice_start,4.215591739263449,8,3.282733689389616,12,3.377513891254776,11,4.064309648508873,8,3.510696188855788,11
8,is_open_routes,4.200190917109895,9,3.468067166166082,10,3.061489685145675,13,3.104149703407725,13,4.823376399953937,7
9,is_trucks_settings_state,3.79515747977418,10,3.203310580505317,13,3.156798532527496,12,4.412919610305956,6,4.521406245058863,8
10,is_auto_update,3.5156985880087,11,4.241388083915356,9,4.551374376625948,7,4.325012103797298,7,3.176646998090752,12
11,is_arrow_off,3.269793782859245,12,2.664964378956407,15,3.015793556926911,14,3.535422571188455,11,2.942782815385006,14
14,is_sound,2.830126728958103,15,2.387010945322506,18,3.842564821406393,10,2.667565096131707,15,2.392920190738132,17
16,is_select_road_alert,2.577964947168208,17,2.043071497731461,20,2.609937697341458,16,2.255691758642326,18,2.464983151963466,16
17,is_select_poi,2.576498139670198,18,2.97340920584531,14,2.242162464515199,18,1.917017900463525,20,2.529783567303181,15
18,is_open_overview,2.492839893996968,19,1.869325298936316,21,2.681872197762139,15,2.383080364554232,17,1.607594482493334,23
19,is_long_tap,2.335660024589888,20,2.386294728103159,19,2.267017517664545,17,1.680330532499473,22,1.205432466803428,26
23,is_download_maps_complete,1.281872000437302,24,0.847726718888654,30,1.272308090935823,26,0.6116288053161941,30,1.204784681741084,27
24,is_changed_voice,1.254024490789667,25,1.047309507464146,28,0.6687923364105648,32,0.7935399820057137,28,0.7563661536706803,30
25,is_route_to,1.177816826310829,26,1.246577162893481,25,1.20031151593497,27,1.066596629496263,26,2.078268003626142,21
26,is_show_ruler,1.171085160107759,27,1.105108314411134,27,1.509200624811126,25,1.593063414205684,23,0.9620373764822041,28
27,is_select_user_placemark,1.161153384476698,28,1.290963897954072,23,1.079586998433074,28,0.9576303908582288,27,1.363213341206996,25
28,is_freedrive_mode_update,0.99688007682689,29,0.8277020070625073,31,0.5774101080478456,33,0.2577644831114368,39,0.9291907297611685,29
29,is_taxi_order_card_show,0.710129337825475,30,1.15624344764896,26,1.641383738019254,22,1.517597127889317,24,1.82771986880517,22
30,is_comment_road_alert,0.6615634717897457,31,0.7240821729254729,32,0.7283726344928586,31,0.5447160358259113,32,0.5439682853249365,32
31,is_select_transport_stop_placemark,0.5860287392899763,32,0.1689563386663446,42,0.3246075461527294,40,0.4208877201815113,35,0.4534901576094649,33
32,is_cursor_update,0.5545731095516048,33,0.8597234308211725,29,0.8989393534968755,29,0.6626002270846804,29,0.5496045239264599,31
33,is_freedrive_ping,0.543133939236341,34,0.3171680554333735,37,0.884079768208987,30,0.6081440403021514,31,0.3917446633196872,35
34,is_add_bookmark_attempt,0.3686288835682838,35,0.4329188384051982,35,0.519519698637811,34,0.4326454241075937,34,0.4290222154423544,34
35,guidance_is_open_voice_input,0.3663790922959235,36,0.1128798322596343,48,0.1642129832829213,46,0.1360021714610112,46,0.1001618609095527,49
36,is_open_taxi,0.2896840327064216,37,0.5859234850880252,34,0.355253587338147,38,0.4518656799104198,33,0.2732803379944934,37
37,is_call_taxi,0.2648164961924726,38,0.2203957352579518,40,0.4506396526540943,35,0.2638172100031137,38,0.1266403809395832,45
38,is_show_faster_route,0.2639331167919396,39,0.3397500211360245,36,0.3276631931143689,39,0.0,62,0.3494571860822736,36
39,is_open_adv_promo_details,0.2397218140950146,40,0.1202771077559738,46,0.2529228667578331,41,0.2566391669508093,40,0.08175923099997531,52
40,is_route_from,0.2233919271369881,41,0.6213139251388088,33,0.125616666323414,49,0.1974076568707066,42,0.2530552708502778,39
41,is_open_voice_input,0.1821695760885798,42,0.1780131753819738,41,0.3993839382230445,37,0.1479867782279023,45,0.2035499703594454,40
42,is_opening_hours,0.1592743284277399,43,0.2346521337110927,39,0.4341976168833732,36,0.2525645989342589,41,0.1154200770450031,47
43,is_rate_road_alert,0.1336926593157846,44,0.1426355904799472,44,0.1862002229615638,44,0.07982716361528953,49,0.1896558812430779,41
44,is_make_call,0.1080277355831836,45,0.08911842691472643,49,0.1599307150352585,47,0.1786676167031776,43,0.1615188852576173,42
45,is_open_full_review,0.1046386087919852,46,0.04858750009897264,53,0.1005568327876253,50,0.1244246623593459,47,0.05446298876307817,55
46,is_open_site,0.09254424024681258,47,0.07890865898305385,50,0.1887651804480233,43,0.05666534371116941,51,0.103899416845858,48
47,is_what_here,0.08692005677440898,48,0.1637782996683372,43,0.05326162617693732,57,0.1769953588182915,44,0.06045450034502058,54
48,is_transport_open_transport_stop,0.07755757427741211,49,0.0,64,0.09992401367746558,51,0.04638331657085733,54,0.02437434860588176,58
49,is_transport_open_view,0.06977114621953177,50,0.3069636101337788,38,0.1743899452700994,45,0.2713845004187392,37,0.09441350557942164,50
50,is_cpaa,0.06553736045701052,51,0.032911602254508,55,0.08530810122349816,52,0.1182944200639888,48,0.1292800048983013,43
51,is_application_screenshot,0.05130365625413508,52,0.1404662157229345,45,0.07171803562543931,55,0.02969385409484192,58,0.07772174707937204,53
52,is_guidance_show_next_maneuver,0.03927491780349523,53,0.01915176793609926,57,0.0,66,0.0506987310683262,52,0.08791190233142729,51
53,is_map_rotation,0.0333781419352687,54,0.03478799952588183,54,0.07801439760079788,53,0.03958183174615502,56,0.04337762140235696,56
54,is_rate_place,0.0284382582512455,55,0.0,60,0.01961842569511857,59,0.0,63,0.04023580566318622,57
55,is_quick_action_route_home,0.02729621215787687,56,0.06480898879256329,52,0.1530245664840089,48,0.03346255864183361,57,0.1158452670795926,46
56,is_add_review_attempt,0.02728938192641491,57,0.0780623293165844,51,0.0,63,0.05973922059239618,50,0.0,61
57,is_open_quick_search,0.02555376090033759,58,0.0,61,0.05955124437987315,56,0.02660803883167185,59,0.1277092340261647,44
58,is_trucks_settings_update,0.01630447697382405,59,0.0,67,0.01673241963033168,61,0.0,68,0.0,66
59,is_open_rating,0.00996312899503156,60,0.01813450238445937,58,0.0,64,0.0,65,0.0,62
60,is_quick_action_search_nearby,0.001230783602418274,61,0.01420807581543861,59,0.006112098377818742,62,0.01850741307984846,60,0.01328602094442464,59
61,is_add_review_submit,0.0,62,0.0,62,0.03011549892283258,58,0.0,64,0.01012043058380758,60
62,is_transport_stop_open_transport,0.0,63,0.0,63,0.0,65,0.0,66,0.0,63
63,is_show_more_reviews,0.0,64,0.0,65,0.01692898000823374,60,0.04902138229058651,53,0.0,64
64,is_metro_nearby,0.0,65,0.0,66,0.0,67,0.0,67,0.0,65
65,is_exit_navigation,0.0,66,0.0,68,0.0,68,0.0,69,0.0,67
66,is_add_bookmark_submit,0.0,67,0.0,69,0.0,69,0.007551200202144357,61,0.0,68
67,is_map_gas_stations_discount_button_select,0.0,68,0.0,70,0.0,70,0.0,70,0.0,69
68,is_route_via,0.0,69,0.0,71,0.0,71,0.0,71,0.0,70
69,is_params_card_click,0.0,70,0.0,72,0.0,72,0.0,72,0.0,71
70,is_become_beta_tester,0.0,71,0.0,73,0.0,73,0.0,73,0.0,72
71,is_active_session_card_show,0.0,72,0.0,74,0.0,74,0.0,74,0.0,73
72,is_place_metro_nearby_request_route,0.0,73,0.0,75,0.0,75,0.0,75,0.0,74
73,is_ping,0.0,74,0.0,76,0.0,76,0.0,76,0.0,75
74,is_bookmarks_list_show,0.0,75,0.1162664476496816,47,0.2206626456009668,42,0.3493887604147809,36,0.2570615537726733,38
75,is_bookmarks_list_click,0.0,76,0.02146568208428145,56,0.07345189791149796,54,0.04141232772909034,55,0.0,76
